    f         Sigma
15596136136.14 0.00032990
15631161161.16 0.00032596
15666186186.19 0.00032248
15701211211.21 0.00031948
15736236236.24 0.00031695
15771261261.26 0.00031491
15806286286.29 0.00031334
15841311311.31 0.00031225
15876336336.34 0.00031164
15911361361.36 0.00031152
15946386386.39 0.00031187
15981411411.41 0.00031269
16016436436.44 0.00031398
16051461461.46 0.00031573
16086486486.49 0.00031794
16121511511.51 0.00032059
16156536536.54 0.00032369
16191561561.56 0.00032722
16226586586.59 0.00033116
16261611611.61 0.00033552
16296636636.64 0.00034027
16331661661.66 0.00034540
16366686686.69 0.00035091
16401711711.71 0.00035677
16436736736.74 0.00036297
16471761761.76 0.00036950
16506786786.79 0.00037633
16541811811.81 0.00038346
16576836836.84 0.00039085
16611861861.86 0.00039851
16646886886.89 0.00040640
16681911911.91 0.00041450
16716936936.94 0.00042281
16751961961.96 0.00043129
16786986986.99 0.00043993
16822012012.01 0.00044871
16857037037.04 0.00045760
16892062062.06 0.00046659
16927087087.09 0.00047566
16962112112.11 0.00048477
16997137137.14 0.00049392
17032162162.16 0.00050308
17067187187.19 0.00051223
17102212212.21 0.00052135
17137237237.24 0.00053042
17172262262.26 0.00053941
17207287287.29 0.00054831
17242312312.31 0.00055710
17277337337.34 0.00056575
17312362362.36 0.00057425
17347387387.39 0.00058258
17382412412.41 0.00059072
17417437437.44 0.00059865
17452462462.46 0.00060636
17487487487.49 0.00061382
17522512512.51 0.00062102
17557537537.54 0.00062794
17592562562.56 0.00063458
17627587587.59 0.00064091
17662612612.61 0.00064692
17697637637.64 0.00065261
17732662662.66 0.00065795
17767687687.69 0.00066293
17802712712.71 0.00066756
17837737737.74 0.00067180
17872762762.76 0.00067567
17907787787.79 0.00067915
17942812812.81 0.00068223
17977837837.84 0.00068491
18012862862.86 0.00068718
18047887887.89 0.00068905
18082912912.91 0.00069050
18117937937.94 0.00069154
18152962962.96 0.00069216
18187987987.99 0.00069237
18223013013.01 0.00069216
18258038038.04 0.00069154
18293063063.06 0.00069051
18328088088.09 0.00068908
18363113113.11 0.00068725
18398138138.14 0.00068502
18433163163.16 0.00068241
18468188188.19 0.00067942
18503213213.21 0.00067605
18538238238.24 0.00067233
18573263263.26 0.00066825
18608288288.29 0.00066383
18643313313.31 0.00065908
18678338338.34 0.00065402
18713363363.36 0.00064865
18748388388.39 0.00064299
18783413413.41 0.00063705
18818438438.44 0.00063085
18853463463.46 0.00062440
18888488488.49 0.00061772
18923513513.51 0.00061083
18958538538.54 0.00060374
18993563563.56 0.00059647
19028588588.59 0.00058903
19063613613.61 0.00058145
19098638638.64 0.00057374
19133663663.66 0.00056592
19168688688.69 0.00055801
19203713713.71 0.00055002
19238738738.74 0.00054198
19273763763.76 0.00053390
19308788788.79 0.00052580
19343813813.81 0.00051770
19378838838.84 0.00050962
19413863863.86 0.00050157
19448888888.89 0.00049358
19483913913.91 0.00048566
19518938938.94 0.00047783
19553963963.96 0.00047011
19588988988.99 0.00046251
19624014014.01 0.00045504
19659039039.04 0.00044774
19694064064.06 0.00044061
19729089089.09 0.00043366
19764114114.11 0.00042692
19799139139.14 0.00042039
19834164164.16 0.00041409
19869189189.19 0.00040804
19904214214.21 0.00040224
19939239239.24 0.00039670
19974264264.26 0.00039145
20009289289.29 0.00038649
20044314314.31 0.00038182
20079339339.34 0.00037747
20114364364.36 0.00037343
20149389389.39 0.00036971
20184414414.41 0.00036633
20219439439.44 0.00036329
20254464464.46 0.00036059
20289489489.49 0.00035823
20324514514.51 0.00035623
20359539539.54 0.00035459
20394564564.56 0.00035330
20429589589.59 0.00035237
20464614614.61 0.00035179
20499639639.64 0.00035158
20534664664.66 0.00035173
20569689689.69 0.00035223
20604714714.71 0.00035308
20639739739.74 0.00035429
20674764764.76 0.00035584
20709789789.79 0.00035773
20744814814.81 0.00035995
20779839839.84 0.00036251
20814864864.86 0.00036538
20849889889.89 0.00036857
20884914914.91 0.00037207
20919939939.94 0.00037586
20954964964.96 0.00037993
20989989989.99 0.00038428
21025015015.02 0.00038890
21060040040.04 0.00039377
21095065065.07 0.00039887
21130090090.09 0.00040421
21165115115.12 0.00040976
21200140140.14 0.00041551
21235165165.17 0.00042145
21270190190.19 0.00042756
21305215215.22 0.00043383
21340240240.24 0.00044024
21375265265.27 0.00044677
21410290290.29 0.00045342
21445315315.32 0.00046016
21480340340.34 0.00046699
21515365365.37 0.00047387
21550390390.39 0.00048081
21585415415.42 0.00048777
21620440440.44 0.00049475
21655465465.47 0.00050173
21690490490.49 0.00050869
21725515515.52 0.00051562
21760540540.54 0.00052250
21795565565.57 0.00052931
21830590590.59 0.00053604
21865615615.62 0.00054268
21900640640.64 0.00054920
21935665665.67 0.00055560
21970690690.69 0.00056185
22005715715.72 0.00056796
22040740740.74 0.00057389
22075765765.77 0.00057965
22110790790.79 0.00058521
22145815815.82 0.00059057
22180840840.84 0.00059570
22215865865.87 0.00060062
22250890890.89 0.00060529
22285915915.92 0.00060971
22320940940.94 0.00061387
22355965965.97 0.00061777
22390990990.99 0.00062140
22426016016.02 0.00062474
22461041041.04 0.00062779
22496066066.07 0.00063055
22531091091.09 0.00063301
22566116116.12 0.00063517
22601141141.14 0.00063701
22636166166.17 0.00063855
22671191191.19 0.00063977
22706216216.22 0.00064068
22741241241.24 0.00064127
22776266266.27 0.00064154
22811291291.29 0.00064150
22846316316.32 0.00064114
22881341341.34 0.00064047
22916366366.37 0.00063949
22951391391.39 0.00063821
22986416416.42 0.00063662
23021441441.44 0.00063473
23056466466.47 0.00063255
23091491491.49 0.00063009
23126516516.52 0.00062734
23161541541.54 0.00062433
23196566566.57 0.00062104
23231591591.59 0.00061750
23266616616.62 0.00061372
23301641641.64 0.00060969
23336666666.67 0.00060544
23371691691.69 0.00060097
23406716716.72 0.00059629
23441741741.74 0.00059142
23476766766.77 0.00058637
23511791791.79 0.00058114
23546816816.82 0.00057575
23581841841.84 0.00057022
23616866866.87 0.00056455
23651891891.89 0.00055877
23686916916.92 0.00055288
23721941941.94 0.00054689
23756966966.97 0.00054083
23791991991.99 0.00053470
23827017017.02 0.00052852
23862042042.04 0.00052230
23897067067.07 0.00051606
23932092092.09 0.00050982
23967117117.12 0.00050357
24002142142.14 0.00049735
24037167167.17 0.00049116
24072192192.19 0.00048503
24107217217.22 0.00047895
24142242242.24 0.00047294
24177267267.27 0.00046703
24212292292.29 0.00046122
24247317317.32 0.00045552
24282342342.34 0.00044995
24317367367.37 0.00044451
24352392392.39 0.00043923
24387417417.42 0.00043411
24422442442.44 0.00042917
24457467467.47 0.00042441
24492492492.49 0.00041984
24527517517.52 0.00041547
24562542542.54 0.00041132
24597567567.57 0.00040740
24632592592.59 0.00040370
24667617617.62 0.00040024
24702642642.64 0.00039702
24737667667.67 0.00039405
24772692692.69 0.00039135
